allele,asc_allele,threshold
IGHV3-35*01,IGHVF10-G48*01,1e-04
IGHV3-35*02,IGHVF10-G48*02,1e-04
IGHV3-7*04,IGHVF10-G49*01,0.001
IGHV3-7*05,IGHVF10-G49*02,1e-04
IGHV3-7*01,IGHVF10-G49*03,0.001
IGHV3-7*03,IGHVF10-G49*04,0.001
IGHV3-11*01,IGHVF10-G50*01,0.001
IGHV3-11*04,IGHVF10-G50*02,0.001
IGHV3-11*05,IGHVF10-G50*03,0.001
IGHV3-11*06,IGHVF10-G50*04,1e-04
IGHV3-21*07,IGHVF10-G51*01,1e-04
IGHV3-21*05,IGHVF10-G51*02,0.001
IGHV3-21*06,IGHVF10-G51*03,0.001
IGHV3-21*01,IGHVF10-G51*04,0.001
IGHV3-21*03,IGHVF10-G51*05,0.001
IGHV3-69-1*01,IGHVF10-G52*01,1e-04
IGHV3-69-1*02,IGHVF10-G52*02,1e-04
IGHV3-48*03,IGHVF10-G52*03,0.001
IGHV3-48*04,IGHVF10-G52*04,0.001
IGHV3-48*01,IGHVF10-G52*05,0.001
IGHV3-48*02,IGHVF10-G52*06,0.001
IGHD1-1*01,IGHD1-1*01,0.001
IGHD1-14*01,IGHD1-14*01,0.001
IGHD1-20*01,IGHD1-20*01,0.001
IGHD1-26*01,IGHD1-26*01,0.001
IGHD1-7*01,IGHD1-7*01,0.001
IGHD1/OR15-1a*01,IGHD1/OR15-1a*01,0.003
IGHD1/OR15-1b*01,IGHD1/OR15-1b*01,0.002
IGHD2-15*01,IGHD2-15*01,0.001
IGHD2-2*01,IGHD2-2*01,0.001
IGHD2-2*02,IGHD2-2*02,0.001
IGHD2-2*03,IGHD2-2*03,0.02
IGHD2-21*01,IGHD2-21*01,0.005
IGHD2-21*02,IGHD2-21*02,0.001
IGHD2-8*01,IGHD2-8*01,0.001
IGHD2-8*02,IGHD2-8*02,0.005
IGHD2/OR15-2a*01,IGHD2/OR15-2a*01,0.004
IGHD2/OR15-2b*01,IGHD2/OR15-2b*01,0.003
IGHD3-10*01,IGHD3-10*01,0.001
IGHD3-10*02,IGHD3-10*02,0.02
IGHD3-16*01,IGHD3-16*01,0.02
IGHD3-16*02,IGHD3-16*02,0.001
IGHD3-22*01,IGHD3-22*01,0.001
IGHD3-3*01,IGHD3-3*01,0.001
IGHD3-3*02,IGHD3-3*02,0.02
IGHD3-9*01,IGHD3-9*01,0.001
IGHD3/OR15-3a*01,IGHD3/OR15-3a*01,0.005
IGHD3/OR15-3b*01,IGHD3/OR15-3b*01,0.004
IGHD4-11*01,IGHD4-11*01,0.001
IGHD4-17*01,IGHD4-17*01,0.001
IGHD4-23*01,IGHD4-23*01,0.001
IGHD4-4*01,IGHD4-4*01,0.001
IGHD4/OR15-4a*01,IGHD4/OR15-4a*01,0.003
IGHD4/OR15-4b*01,IGHD4/OR15-4b*01,0.003
IGHD5-12*01,IGHD5-12*01,0.001
IGHD5-18*01,IGHD5-18*01,0.001
IGHD5-24*01,IGHD5-24*01,0.001
IGHD5-5*01,IGHD5-5*01,0.001
IGHD5/OR15-5a*01,IGHD5/OR15-5a*01,0.002
IGHD5/OR15-5b*01,IGHD5/OR15-5b*01,0.002
IGHD6-13*01,IGHD6-13*01,0.001
IGHD6-19*01,IGHD6-19*01,0.001
IGHD6-25*01,IGHD6-25*01,0.001
IGHD6-6*01,IGHD6-6*01,0.001
IGHD7-27*01,IGHD7-27*01,0.001
IGHJ1*01,IGHJ1*01,0.001
IGHJ2*01,IGHJ2*01,0.001
IGHJ3*01,IGHJ3*01,0.005
IGHJ3*02,IGHJ3*02,0.001
IGHJ4*01,IGHJ4*01,0.002
IGHJ4*02,IGHJ4*02,0.001
IGHJ4*03,IGHJ4*03,0.002
IGHJ5*01,IGHJ5*01,0.002
IGHJ5*02,IGHJ5*02,0.001
IGHJ6*01,IGHJ6*01,0.001
IGHJ6*02,IGHJ6*02,0.001
IGHJ6*03,IGHJ6*03,0.001
IGHJ6*04,IGHJ6*04,0.001
